prop_name,iva_count,instance_count,ivas
pb_sas_RADIALOUT-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_RETROGRADE-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_STAB-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_sas_TARGET-FD2-G1,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
SwitchRotary_SAS_SpeedMode_Selector-01,16,20,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
Lable_ACTIONS,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG01-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG02-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG03-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG04-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
